,,,,,,,,,,,,,,,,,,,,,,,,,,1
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,8259,2105,7753,18117,,casual,0:29:13,0:20:30,0:22:21,0:25:39,0:21:39,0:22:57,0:31:45,0:25:41,,casual,2864,2088,1882,2094,2348,2838,4003,18117,,
member,53441,1,25275,78717,,member,0:13:22,0:13:13,0:12:02,0:13:27,0:12:15,0:12:19,0:13:34,0:12:52,,member,8872,11135,10569,11208,11968,12645,12320,78717,,
Grand Total,61700,2106,33028,96834,,Grand Total,0:17:14,0:14:22,0:13:36,0:15:22,0:13:48,0:14:16,0:18:01,0:15:16,,Grand Total,11736,13223,12451,13302,14316,15483,16323,96834,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,5695,1271,3165,10131,,casual,0:43:45,0:36:57,0:49:20,0:34:02,0:20:59,1:03:10,1:01:13,0:49:22,,casual,1393,585,1007,1123,1042,1496,3485,10131,,
member,29317,,10174,39491,,member,0:21:17,0:19:42,0:17:24,0:17:26,0:15:34,0:17:10,0:19:17,0:18:01,,member,3991,4005,5728,6613,6031,6594,6529,39491,,
Grand Total,35012,1271,13339,49622,,Grand Total,0:27:06,0:21:54,0:22:10,0:19:51,0:16:22,0:25:40,0:33:52,0:24:25,,Grand Total,5384,4590,6735,7736,7073,8090,10014,49622,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3
Count of ride_id,Column Labels,,,,,Average of ride_length,Column Labels,,,,,,,,,Count of ride_id,Column Labels,,,,,,,,,
Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,45528,15657,22848,84033,,casual,0:41:22,0:44:08,0:36:01,0:28:44,0:30:20,0:29:12,0:42:18,0:38:10,,casual,17342,11990,10463,8883,5488,7777,22090,84033,,
member,107017,,37446,144463,,member,0:16:09,0:14:08,0:13:29,0:12:55,0:12:04,0:12:45,0:15:52,0:13:58,,member,18285,22835,23537,22786,15978,17880,23162,144463,,
Grand Total,152545,15657,60294,228496,,Grand Total,0:28:26,0:24:28,0:20:25,0:17:22,0:16:44,0:17:44,0:28:46,0:22:52,,Grand Total,35627,34825,34000,31669,21466,25657,45252,228496,,
